id;reference-date;status;status-prev;status-after;counterparty-type;economic-sector-code;geographic-area;balance;limit-balance
162;2019-01-01;1;0;0;retail-type-2;5928;north-west;26.55; -   
163;2019-01-01;1;0;0;retail-type-2;5928;south;16.11; -   
164;2019-01-01;1;0;0;retail-type-2;5928;north-est;12.55; -   
165;2019-01-01;1;0;0;corporate-type-2;4228;mid-west;133.69; -   
166;2019-01-01;1;0;0;retail-type-2;5928;mid-west;24.58; -   
167;2019-01-01;1;0;0;retail-type-2;5928;east-coast;9.56; -   
168;2019-01-01;1;0;0;retail-type-2;5928;north-est;15.35; -   
169;2019-01-01;1;0;0;retail-type-2;5928;west-coast;39.10; -   
170;2019-01-01;1;0;0;retail-type-2;5928;south;20.47; -   
171;2019-01-01;1;0;0;retail-type-2;5928;south;2.76; -   
172;2019-01-01;1;0;0;retail-type-2;5928;north-est;15.25; -   
173;2019-01-01;1;0;0;corporate-type-2;4228;mid-west;125.30; -   
174;2019-01-01;1;0;0;retail-type-2;5928;west-coast;9.26; -   
175;2019-01-01;1;0;0;retail-no-loan;5928;east-coast; 11.841.01 ; 11.359.37 
176;2019-01-01;1;0;0;retail-no-loan;5928;north-est; 3.411.47 ; 2.905.14 
177;2019-01-01;1;0;0;retail-loan;5928;north-est; 1.115.96 ;557.61
178;2019-01-01;1;0;0;retail-type-2;5928;south;43.28; -   
179;2019-01-01;1;0;0;corporate-type-2;4848;west-coast;109.90; -   
180;2019-01-01;1;0;0;retail-type-2;5928;north-est;22.59; -   
181;2019-01-01;1;0;0;retail-type-2;5928;south;33.92; -   
182;2019-01-01;1;0;0;retail-type-2;5928;south;10.76; -   
183;2019-01-01;1;0;0;retail-type-2;5928;mid-west;18.93; -   
184;2019-01-01;1;0;0;retail-type-2;5928;north-est;8.93; -   
185;2019-01-01;1;0;0;retail-type-2;5928;east-coast; 1.900.97 ; -   
186;2019-01-01;1;0;0;retail-type-2;5928;west-coast;4.78; -   
187;2019-01-01;1;0;0;retail-type-2;5928;north-west;69.20; -   
188;2019-01-01;1;0;0;retail-type-2;5928;west-coast;58.70; -   
189;2019-01-01;1;0;0;retail-type-2;5928;north-est;5.38; -   
190;2019-01-01;1;0;0;retail-type-2;5928;south;81.29; -   
191;2019-01-01;1;0;0;retail-type-2;5928;south;37.09; -   
192;2019-01-01;1;0;0;retail-type-2;5928;west-coast;1.57; -   
193;2019-01-01;1;0;0;retail-type-2;5928;south;26.06; -   
194;2019-01-01;1;0;0;retail-type-2;5928;east-coast;28.57; -   
195;2019-01-01;1;0;0;corporate-type-2;4228;south;105.30; -   
196;2019-01-01;1;0;0;retail-no-loan;5928;west-coast; 2.166.32 ; 2.000.00 
197;2019-01-01;1;0;0;retail-type-2;5928;east-coast;245.07; -   
198;2019-01-01;1;0;0;retail-type-2;5928;mid-west;14.03; -   
199;2019-01-01;1;0;0;retail-type-2;5928;south;39.48; -   
200;2019-01-01;1;0;0;retail-type-2;5928;east-coast;4.94; -   
201;2019-01-01;1;0;0;retail-type-2;5928;south;8.95; -   
202;2019-01-01;1;0;0;retail-type-2;5928;south;40.98; -   
203;2019-01-01;1;0;0;retail-type-2;5928;south;29.48; -   
204;2019-01-01;1;0;0;retail-type-2;5928;north-est;21.49; -   
205;2019-01-01;1;0;0;retail-type-2;5928;north-est;22.99; -   
206;2019-01-01;1;0;0;retail-type-2;5928;north-west;29.11; -   
207;2019-01-01;1;0;0;retail-type-2;5928;north-west;33.01; -   
208;2019-01-01;1;0;0;retail-type-2;5928;mid-west;22.70; -   
209;2019-01-01;1;0;0;corporate-type-2;6068;west-coast;667.14; -   
210;2019-01-01;1;0;0;retail-no-loan;5928;south;406.10;97.9
211;2019-01-01;1;0;0;retail-type-2;5928;west-coast;65.10; -   
212;2019-01-01;1;0;0;retail-type-2;5928;north-west;31.91; -   
213;2019-01-01;1;0;0;corporate-type-2;4848;south;40.53; -   
214;2019-01-01;1;0;0;retail-type-2;5928;mid-west;16.16; -   
215;2019-01-01;10000;0;0;small-1;4228;mid-west; -   ; 160.000.00 
216;2019-01-01;1;0;0;retail-type-2;5928;south;12.86; -   
217;2019-01-01;1;0;0;retail-type-2;5928;west-coast;29.35; -   
218;2019-01-01;1;0;0;retail-type-2;5928;north-est;15.46; -   
219;2019-01-01;1;0;0;retail-type-2;5928;north-west;63.15; -   
220;2019-01-01;1;0;0;corporate-type-2;6078;north-west;146.77; -   
221;2019-01-01;1;0;0;retail-type-2;5928;east-coast;21.20; -   
222;2019-01-01;1;0;0;corporate-type-2;4848;north-est;121.82; -   
223;2019-01-01;1;0;0;retail-type-2;5928;mid-west;60.37; -   
224;2019-01-01;2;0;0;small-enterprise;6078;south; 43.858.71 ; 42.518.59 
225;2019-01-01;1;0;0;retail-loan;5928;north-west; 12.197.75 ; 12.127.03 
226;2019-01-01;1;0;0;retail-type-2;5928;mid-west;42.00; -   
227;2019-01-01;1;0;0;retail-type-2;5928;north-est;26.79; -   
228;2019-01-01;1;0;0;retail-type-2;5928;north-west;45.09; -   
229;2019-01-01;1;0;0;retail-type-2;5928;west-coast;20.18; -   
230;2019-01-01;1;0;0;retail-type-2;5928;south;43.81; -   
231;2019-01-01;1;0;0;retail-type-2;5928;south;5.43; -   
232;2019-01-01;1;0;0;retail-type-2;5928;west-coast;23.63; -   
233;2019-01-01;1;0;0;corporate-type-2;4228;south;22.11; -   
234;2019-01-01;1;0;0;retail-no-loan;5928;mid-west; 5.265.00 ; 5.000.00 
235;2019-01-01;1;0;0;retail-type-2;5928;south;1.61; -   
236;2019-01-01;1;0;0;corporate-type-2;4228;south;82.63; -   
237;2019-01-01;1;0;0;corporate-type-2;4428;east-coast;119.58; -   
238;2019-01-01;1;0;0;corporate-type-2;4228;south;89.45; -   
239;2019-01-01;1;0;0;retail-type-2;5928;west-coast;29.92; -   
240;2019-01-01;1;0;0;corporate-type-2;4228;mid-west;116.85; -   
241;2019-01-01;1;0;0;retail-type-2;5928;west-coast;23.77; -   
242;2019-01-01;1;0;0;retail-type-2;5928;south;19.70; -   
243;2019-01-01;1;0;0;retail-type-2;5928;north-est;23.14; -   
244;2019-01-01;1;0;0;retail-type-2;5928;west-coast;48.55; -   
245;2019-01-01;1;0;0;retail-type-2;5928;east-coast;17.28; -   
